Date,Pays,Deces,diffDeces0,diffDecesHier,pctgrow,daySince0,moyenne7
2020-03-19,Irlande,2,1,0,,8.0,-1.0
2020-03-19,Italie,2978,427,475,-0.1,27.0,0.19
2020-03-19,Japon,29,0,0,,35.0,-0.9
2020-03-19,Liban,3,1,0,,9.0,
2020-03-19,Luxembourg,2,2,1,1.0,5.0,0.0
2020-03-19,Malaisie,2,0,0,,2.0,-1.0
2020-03-19,Maroc,2,0,0,,9.0,-1.0
2020-03-19,"Norvège",6,1,3,-0.67,5.0,-0.83
2020-03-19,Pays-Bas,58,19,15,0.27,13.0,0.95
2020-03-19,Philippines,19,-2,7,-1.29,46.0,-0.16
2020-03-19,Pologne,5,0,0,,7.0,-0.4
2020-03-19,Portugal,2,1,1,0.0,2.0,0.0
2020-03-19,Royaume-Uni,72,66,16,3.13,14.0,-1.13
2020-03-19,Saint-Marin,11,0,4,-1.0,16.0,-0.5
2020-03-19,Suisse,28,13,1,12.0,14.0,2.23
2020-03-19,"Suède",10,1,3,-0.67,8.0,0.53
2020-03-19,Ukraine,2,0,0,,6.0,-1.0
2020-03-19,"Égypte",6,0,2,-1.0,11.0,-0.67
2020-03-19,"Équateur",2,1,0,,5.0,-1.0
2020-03-19,"États-Unis",118,82,10,7.2,19.0,1.31
2020-03-20,Albanie,2,0,0,,9.0,-1.0
2020-03-20,"Algérie",9,2,2,0.0,8.0,-0.27
2020-03-20,Allemagne,44,23,16,0.44,11.0,0.88
2020-03-20,Argentine,3,0,1,-1.0,12.0,-1.0
2020-03-20,Australie,6,1,0,,19.0,-1.13
2020-03-20,Autres,7,0,0,,29.0,
2020-03-20,Autriche,6,0,2,-1.0,8.0,-0.33
2020-03-20,Belgique,21,16,7,1.29,9.0,0.97
2020-03-20,"Brésil",6,5,3,0.67,3.0,0.72
2020-03-20,Bulgarie,3,0,1,-1.0,9.0,-1.0
2020-03-20,Canada,9,3,1,2.0,11.0,0.67
2020-03-20,"Corée du Sud",91,3,7,-0.57,29.0,-0.25
2020-03-20,Danemark,6,3,2,0.5,6.0,-0.1
2020-03-20,Espagne,830,213,207,0.03,17.0,0.54
2020-03-20,France,372,78,108,-0.28,34.0,0.54
2020-03-20,"Grèce",6,0,1,-1.0,9.0,-0.88
2020-03-20,Hong-Kong,4,0,0,,45.0,-1.0
2020-03-20,Inde,4,1,1,0.0,9.0,-0.67
2020-03-20,"Indonésie",25,7,6,0.17,9.0,-0.52
